domain,task_id,reward_basis,tool_oracle_basis,unevaluated_basis,tool_oracle_applicable,tool_oracle_pass,action_reward,env_oracle_applicable,env_reward,db_match,env_assertions,env_assertions_met,reference_actions,assistant_reference_actions,user_reference_actions,assistant_gateway_allowed,assistant_gateway_blocked,tool_error_events
mock,create_task_1,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
mock,create_task_1_with_env_assertions,DB|ENV_ASSERTION,DB|ENV_ASSERTION,none,True,True,1.0,True,1.0,True,1,1,1,1,0,1,0,0
mock,create_task_1_nl_eval,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,0,0,0,0,0,0
mock,update_task_1,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
mock,update_task_with_message_history,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
mock,update_task_with_initialization_data,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
mock,update_task_with_initialization_actions,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
mock,update_task_with_history_and_env_assertions,ENV_ASSERTION,ENV_ASSERTION,none,True,False,1.0,True,0.0,True,1,0,0,0,0,0,0,0
mock,update_task_with_user_tools,DB|ACTION|ENV_ASSERTION,ACTION|DB|ENV_ASSERTION,none,True,False,1.0,True,0.0,True,1,0,1,1,0,1,0,0
mock,impossible_task_1,DB|ACTION,ACTION|DB,none,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,0,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,0,0,0,0,0,0
airline,1,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,2,2,0,2,0,0
airline,2,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,3,3,0,3,0,0
airline,3,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,2,2,0,2,0,0
airline,4,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,6,6,0,6,0,0
airline,5,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,6,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,7,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,5,5,0,5,0,0
airline,8,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,4,4,0,4,0,0
airline,9,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,10,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,0,0,0,0,0,0
airline,11,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,12,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,5,5,0,5,0,0
airline,13,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,14,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,2,2,0,2,0,0
airline,15,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,16,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,17,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,3,3,0,3,0,0
airline,18,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,5,5,0,5,0,0
airline,19,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,20,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,21,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,2,2,0,2,0,0
airline,22,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,3,3,0,3,0,0
airline,23,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,4,4,0,4,0,0
airline,24,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,25,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,26,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,0,0,0,0,0,0
airline,27,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,28,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,0,0,0,0,0,0
airline,29,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,3,3,0,3,0,0
airline,30,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,3,3,0,3,0,0
airline,31,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,0,0,0,0,0,0
airline,32,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,5,5,0,5,0,0
airline,33,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,5,5,0,5,0,0
airline,34,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,0,0,0,0,0,0
airline,35,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,36,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,37,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,4,4,0,4,0,0
airline,38,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,2,2,0,2,0,0
airline,39,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,11,11,0,11,0,0
airline,40,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,2,2,0,2,0,0
airline,41,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,8,8,0,8,0,0
airline,42,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,10,10,0,10,0,0
airline,43,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,6,6,0,6,0,0
airline,44,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,19,19,0,19,0,0
airline,45,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,1,1,0,1,0,0
airline,46,DB|COMMUNICATE,DB,COMMUNICATE,True,True,1.0,True,1.0,True,0,0,0,0,0,0,0,0
